index,label,mean_chi,mean_ct,mean_r2s,subject,var_R2s_Hz,var_chi_Hz,var_ct,ROI
1,1,0.20431518863911277,331.01014108368844,114.25334058496576,2,252.29206088266255,0.008000252893266946,439.8894876630802,1
2,2,-0.19845535560831454,482.3383798310251,149.31829904769916,2,485.20360101054393,0.01940935904965444,4147.83868984392,1
3,3,-0.601158970221166,514.4220600743448,159.4487717826277,2,891.2501612867151,0.025116745025313966,2115.5776203620558,1
4,4,-0.34235789648196324,389.6246171431108,137.83115787513165,2,224.04181011243782,0.010552181084758194,1593.0103477652883,1
5,5,-0.2768916004147181,447.81383260091144,148.31351936338515,2,293.4327513562457,0.009350393719447944,642.3338839456846,1
6,6,-0.010879249960821505,375.3063493208452,133.49284227394966,2,233.65427649389312,0.005184276464719442,1059.3762871139916,1
7,7,-0.0853089254090348,398.966181899562,144.24015401424674,2,346.68731985475097,0.023502953766089935,3187.3499188877176,1
8,8,-0.715178362269858,473.7385290897254,163.97093426924727,2,857.3287416269632,0.004937024221122188,1439.081208275922,1
9,9,-0.37672151633235706,394.58412031693894,140.43056435081405,2,362.875613295746,0.00609176651062901,694.3965304096928,1
10,10,-0.22911558932203127,354.7533042214134,139.8921093859237,2,744.9953633912919,0.004584002825297487,758.1290154858289,1
11,11,0.3089340566417928,181.0286287006579,70.04228332491664,2,78.34448666794196,0.007354728262052793,419.3422389670533,2
12,12,-0.058263922109593025,243.08092940481086,86.3387464733682,2,255.1317058259249,0.004416428709978091,779.5760860465317,2
13,13,-0.13067280188816338,182.9703947368421,91.82594657755388,2,105.68471405120466,0.007453811885093696,175.01087828020016,2
14,14,0.29676347408002196,170.7731764943976,72.84645881252179,2,95.23866842967462,0.0033320058064623126,294.02819892974884,2
15,15,0.1332284938179166,160.74778694018983,69.91305965759801,2,138.3646160585361,0.0020276579118815863,172.71011415543867,2
16,16,0.07972635734929212,149.92451249507437,76.11818538373718,2,95.89944124257143,0.003731356356741545,151.32290540758237,2
17,17,0.47952562045527064,163.40600023771586,110.54737739122322,2,613.4673179627092,0.010378161367727465,454.199473384431,2
18,18,0.054503431498831766,106.11536474395217,61.34354675586491,2,218.96528841043255,0.003911695808393426,149.11877622106113,2
19,19,0.08856709059867249,142.078212202641,71.15890190343883,2,103.517692489839,0.06110244254571763,444.6648065220169,2
1,1,-0.49935221708697014,529.0359919621394,175.32888036426934,1,363.0415034561577,0.016853174675947713,2453.363460915114,1
2,2,-0.49463506459235007,499.2378117487981,213.39459686743982,1,325.49574124450965,0.017389507515803166,2213.349210425035,1
3,3,-0.1268518368609022,355.77205716646637,161.5256242652314,1,227.88372464048197,0.03259137473768015,1451.2491797477153,1
4,4,-0.4310871717574752,372.97991239107574,151.5896171517652,1,565.2757500214594,0.010888971531216934,2568.22120187037,1
5,5,-0.9289848644329535,438.88501524313904,147.42118667437796,1,510.066581489987,0.01725780205694698,604.6000667719269,1
6,6,-0.5944829464136691,493.34569451747797,168.44523157793452,1,808.6614117962431,0.022592294900475846,3719.1664961075508,1
7,7,-1.162531220835756,366.66387939453125,167.6174167454136,1,421.8419777533517,0.05649004866865083,1049.0500180704616,1
8,8,-0.35132628381310094,388.8226826985677,147.19537248067698,1,166.9129627481973,0.032247727304748834,1145.5106280503892,1
9,9,-0.35219377618352965,231.76816930526343,99.29570489775914,1,139.67362372292126,0.006058325835881658,978.9500437859373,1
10,10,0.07471425117211716,174.93796676244492,97.35672665200214,1,278.22276199860255,0.01472840828788289,989.6082169339367,1
11,11,-0.19041066502094253,216.5670662904397,114.06648278355543,1,143.58989310390498,0.010863394133964678,198.4886913892666,2
12,12,0.024776786409382023,190.01158181214944,85.66638607293255,1,62.651949915615226,0.0033552894884134334,262.24178117672346,2
13,13,-0.23481022935824292,215.5189482860076,102.732296385071,1,201.2295458987631,0.004634127884628773,104.54175643418229,2
14,14,0.016134786666025296,144.76985598833133,91.15639183053024,1,134.94002667842832,0.005693431029604827,253.71950600266848,2
15,15,-0.025765415524551107,112.08989774263821,83.32515644490398,1,140.35554925207123,0.003317310435450451,44.219885581438,2
16,16,-0.09276856598564114,231.54378529084033,119.67100835802987,1,90.03321511837912,0.01564472323899751,286.6427674084338,2
17,17,-0.2049621502923393,161.15809357471954,83.10470838093103,1,90.97128582630754,0.0036872104128170195,277.3690008105998,2
18,18,-0.133317197890405,235.74179116273538,132.2252173938287,1,167.7428315995831,0.0018847689209053828,153.46063669111678,2
19,19,-0.29257493080037245,223.2839155930739,140.71511198756545,1,160.40971474831704,0.006216393751294575,118.88167601507034,2
20,20,-0.24018126918917032,163.51621461525943,82.39249399701129,1,86.69012289249191,0.00434026415085319,132.1894910853834,2
