# R: 0.983314798370519
# R^2: 0.9669079926944545
# p-value: 0.0004152713838168583
# Optimal Parameters:
#   slope a: 0.011682901643986337
#   slope b: -0.03731929086278028
x	y	px	py	std	CIupper	CIlower
5	0.015036517853105271	5.0	0.0210952173441058	0.007916660381320604	0.036611871691494186	0.005578562996717414
7	0.03865683865215471	7.4	0.04913418128450034	0.00598052853898745	0.06085601722091574	0.037412345348084936
10	0.08770212108557272	9.8	0.07717314522489488	0.004723698426871012	0.08643159414156207	0.06791469630822769
12	0.11625126768455929	12.2	0.10521210916528939	0.004723698472628433	0.11447055817164112	0.09595366015893766
15	0.14118460945766598	14.6	0.13325107310568393	0.005980528647411444	0.14497290925461037	0.1215292369567575
17	0.1483244085933586	17.0	0.16129003704607847	0.007916660517832878	0.1768066916610309	0.14577338243112603


# \addplot[only marks] table[x=x,y=y] {fixNchi_dchiR2p.dat};
# \addplot[draw=black] table[x=px,y=py] {fixNchi_dchiR2p.dat};
# \addplot[draw=black,name path=CIlower] table[x=px,y=CIlower] {fixNchi_dchiR2p.dat};
# \addplot[draw=black,name path=CIupper] table[x=px,y=CIupper] {fixNchi_dchiR2p.dat};
# \addplot[fill=gray] fill between [of=CIlower and CIupper];
# \node[anchor=west,align=left,font=\tiny] at (rel axis cs:0.05,0.85)
# {\(y = 0.0117 x + -0.0373\) \\
# \(R^2 = 0.983\) \\
# \(p = 0.000415271\)};
