# R: 0.9963217404183253
# R^2: 0.9926570104302008
# p-value: 2.0269507646716213e-05
# Optimal Parameters:
#   slope a: 0.06497168271046765
#   slope b: -0.3153291008007601
x	y	px	py	std	CIupper	CIlower
5	0.046014022827148435	5.0	0.009529313064736089	0.020468370958383386	0.04964732014316753	-0.03058869401369535
7	0.11939990520477295	7.4	0.1654613514654748	0.015462539878981732	0.195767929628279	0.13515477330267062
10	0.30283432006835936	9.8	0.32139338986621346	0.01221303013806511	0.3453309289368211	0.2974558507956058
12	0.45296216011047363	12.2	0.4773254282669521	0.01221303019821662	0.5012629674554567	0.45338788907844757
15	0.6795609951019287	14.6	0.6332574666676908	0.015462540021513083	0.6635640451098564	0.6029508882255251
17	0.7953850507736206	17.0	0.7891895050684294	0.02046837113783886	0.8293075124985936	0.7490714976382653


# \addplot[only marks] table[x=x,y=y] {fixNchi_dchibvtv.dat};
# \addplot[draw=black] table[x=px,y=py] {fixNchi_dchibvtv.dat};
# \addplot[draw=black,name path=CIlower] table[x=px,y=CIlower] {fixNchi_dchibvtv.dat};
# \addplot[draw=black,name path=CIupper] table[x=px,y=CIupper] {fixNchi_dchibvtv.dat};
# \addplot[fill=gray] fill between [of=CIlower and CIupper];
# \node[anchor=west,align=left,font=\tiny] at (rel axis cs:0.05,0.85)
# {\(y = 0.065 x + -0.315\) \\
# \(R^2 = 0.996\) \\
# \(p = 2.02695e-05\)};
