# R: 0.9964266898058326
# R^2: 0.9928661481574089
# p-value: 1.913000562827561e-05
# Optimal Parameters:
#   slope a: 0.05271907805774477
#   slope b: -0.2552587521750277
x	y	px	py	std	CIupper	CIlower
5	0.03744312252746257	5.0	0.008336638096995141	0.016368421805728325	0.04041874483622266	-0.023745468642232377
7	0.09730230522191523	7.4	0.134862425442263	0.012365291593910558	0.15909839696632772	0.11062645391819832
10	0.2468325278282107	9.8	0.2613882127875309	0.009766680046390539	0.28053090567845634	0.24224551989660542
12	0.36891702048525904	12.2	0.38791400013279864	0.009766680151854404	0.40705669323043325	0.36877130703516403
15	0.5522321193362575	14.6	0.5144397874780665	0.012365291843811292	0.5386757594919367	0.4902038154641964
17	0.6451795433618839	17.0	0.6409655748233344	0.016368422120368258	0.6730476821792561	0.6088834674674126


# \addplot[only marks] table[x=x,y=y] {fixNchi_dchichi.dat};
# \addplot[draw=black] table[x=px,y=py] {fixNchi_dchichi.dat};
# \addplot[draw=black,name path=CIlower] table[x=px,y=CIlower] {fixNchi_dchichi.dat};
# \addplot[draw=black,name path=CIupper] table[x=px,y=CIupper] {fixNchi_dchichi.dat};
# \addplot[fill=gray] fill between [of=CIlower and CIupper];
# \node[anchor=west,align=left,font=\tiny] at (rel axis cs:0.05,0.85)
# {\(y = 0.0527 x + -0.255\) \\
# \(R^2 = 0.996\) \\
# \(p = 1.913e-05\)};
