# R: 0.994415201862074
# R^2: 0.9888615936943894
# p-value: 0.0005005885669209842
# Optimal Parameters:
#   slope a: 0.0003210085879543831
#   slope b: 0.021145586017029663
x	y	px	py	std	CIupper	CIlower
100	0.05020577565466031	100.0	0.05324644479482456	0.002409047880712691	0.05796817864102143	0.04852471094862768
150	0.07126857010607192	150.0	0.06929687420136542	0.0017034540911161518	0.07263564421995308	0.06595810418277775
200	0.08770212108557272	200.0	0.08534730360790627	0.0013908644314823743	0.08807339789361172	0.08262120932220081
250	0.10293568699386882	250.0	0.10139773301444713	0.001703454070479627	0.1047365029925872	0.09805896303630705
300	0.11462436419935762	300.0	0.11744816242098799	0.0024090478515282373	0.12216989620998334	0.11272642863199264


# \addplot[only marks] table[x=x,y=y] {fixchir_dchiR2p.dat};
# \addplot[draw=black] table[x=px,y=py] {fixchir_dchiR2p.dat};
# \addplot[draw=black,name path=CIlower] table[x=px,y=CIlower] {fixchir_dchiR2p.dat};
# \addplot[draw=black,name path=CIupper] table[x=px,y=CIupper] {fixchir_dchiR2p.dat};
# \addplot[fill=gray] fill between [of=CIlower and CIupper];
# \node[anchor=west,align=left,font=\tiny] at (rel axis cs:0.05,0.85)
# {\(y = 0.000321 x + 0.0211\) \\
# \(R^2 = 0.994\) \\
# \(p = 0.000500589\)};
