# R: 0.9986673955662442
# R^2: 0.9973365669670652
# p-value: 5.838468048293347e-05
# Optimal Parameters:
#   slope a: 0.0012644793033599853
#   slope b: 0.044479775428771906
x	y	px	py	std	CIupper	CIlower
100	0.16530752182006836	100.0	0.17092770571821045	0.004620582583547457	0.17998404758196346	0.16187136385445744
150	0.23713202476501466	150.0	0.23415167090948974	0.0032672452569511953	0.24055547161311408	0.2277478702058654
200	0.30283432006835936	200.0	0.29737563610076906	0.0026676946168474784	0.3026043175497901	0.292146954651748
250	0.36322190761566164	250.0	0.3605996012920483	0.0032672453857099386	0.3670034022480398	0.35419580033605685
300	0.4183824062347412	300.0	0.42382356648332764	0.004620582765639817	0.4328799087039817	0.4147672242626736


# \addplot[only marks] table[x=x,y=y] {fixchir_dchibvtv.dat};
# \addplot[draw=black] table[x=px,y=py] {fixchir_dchibvtv.dat};
# \addplot[draw=black,name path=CIlower] table[x=px,y=CIlower] {fixchir_dchibvtv.dat};
# \addplot[draw=black,name path=CIupper] table[x=px,y=CIupper] {fixchir_dchibvtv.dat};
# \addplot[fill=gray] fill between [of=CIlower and CIupper];
# \node[anchor=west,align=left,font=\tiny] at (rel axis cs:0.05,0.85)
# {\(y = 0.00126 x + 0.0445\) \\
# \(R^2 = 0.999\) \\
# \(p = 5.83847e-05\)};
