# R: 0.9986343633507079
# R^2: 0.9972705916648736
# p-value: 6.056861168668664e-05
# Optimal Parameters:
#   slope a: 0.0010289564174283258
#   slope b: 0.03651519051303251
x	y	px	py	std	CIupper	CIlower
100	0.13481625207777465	100.0	0.13941083223928588	0.0038063587265163784	0.146871295343258	0.13195036913531377
150	0.19323209499131364	150.0	0.1908586531189918	0.002691502051804215	0.19613399714052807	0.18558330909745555
200	0.2468325278282107	200.0	0.2423064739986977	0.002197602281660194	0.2466137744707517	0.2379991735266437
250	0.29596018233135324	250.0	0.2937542948784036	0.00269150222652755	0.2990296392423976	0.2884789505144096
300	0.3406913127648362	300.0	0.3452021157581095	0.0038063589736124868	0.35266257934638995	0.33774165216982904


# \addplot[only marks] table[x=x,y=y] {fixchir_dchichi.dat};
# \addplot[draw=black] table[x=px,y=py] {fixchir_dchichi.dat};
# \addplot[draw=black,name path=CIlower] table[x=px,y=CIlower] {fixchir_dchichi.dat};
# \addplot[draw=black,name path=CIupper] table[x=px,y=CIupper] {fixchir_dchichi.dat};
# \addplot[fill=gray] fill between [of=CIlower and CIupper];
# \node[anchor=west,align=left,font=\tiny] at (rel axis cs:0.05,0.85)
# {\(y = 0.00103 x + 0.0365\) \\
# \(R^2 = 0.999\) \\
# \(p = 6.05686e-05\)};
